email,name,company,role,location,lead_score,phone,source
facilities@kyalamigrandprixcircuit.com,Facilities Director (Kyalami Grand Prix Circuit & ICC),Kyalami Grand Prix Circuit & ICC,Facilities Director,Kyalami / Midrand,94,+27 11 466 0204,Gauteng Commercial Real Estate Registry
corporate.events@montecasino.co.za,Operations Manager (Montecasino Corporate Events Centre),Montecasino Corporate Events Centre,Operations Manager,Fourways,94,+27 11 510 7000,Gauteng Commercial Real Estate Registry
facilities1@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Commercial Office Park 1,Rosebank Commercial Office Park 1,Head of Facilities & Operations,Rosebank Oxford Parks,83,+27 11 801 2043,South African Property Owners Association (SAPOA)
facilities2@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Corporate Campus 2,Waterfall Corporate Campus 2,Head of Facilities & Operations,Waterfall City,84,+27 11 802 2086,South African Property Owners Association (SAPOA)
facilities3@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Medical Centre Suites 3,Bryanston Medical Centre Suites 3,Head of Facilities & Operations,Bryanston Main Rd,85,+27 11 803 2129,South African Property Owners Association (SAPOA)
facilities4@menlyncommercialproperties.co.za,Facilities Director - Menlyn Law Chambers 4,Menlyn Law Chambers 4,Head of Facilities & Operations,Menlyn Maine Pretoria,86,+27 11 804 2172,South African Property Owners Association (SAPOA)
facilities5@centurioncommercialproperties.co.za,Facilities Director - Centurion Executive Business Centre 5,Centurion Executive Business Centre 5,Head of Facilities & Operations,Centurion Commercial,87,+27 11 805 2215,South African Property Owners Association (SAPOA)
facilities6@fourwayscommercialproperties.co.za,Facilities Director - Fourways A-Grade Business Park 6,Fourways A-Grade Business Park 6,Head of Facilities & Operations,Fourways Office Node,88,+27 11 806 2258,South African Property Owners Association (SAPOA)
facilities7@randburgcommercialproperties.co.za,Facilities Director - Randburg Technology Hub 7,Randburg Technology Hub 7,Head of Facilities & Operations,Randburg Commercial,89,+27 11 807 2301,South African Property Owners Association (SAPOA)
facilities8@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Commercial Asset Management 8,Woodmead Commercial Asset Management 8,Head of Facilities & Operations,Woodmead Business Park,90,+27 11 808 2344,South African Property Owners Association (SAPOA)
facilities9@illovocommercialproperties.co.za,Facilities Director - Illovo Corporate Innovation Center 9,Illovo Corporate Innovation Center 9,Head of Facilities & Operations,Illovo Boulevard,91,+27 11 809 2387,South African Property Owners Association (SAPOA)
facilities10@sandtoncommercialproperties.co.za,Facilities Director - Sandton Property Portfolio Group 10,Sandton Property Portfolio Group 10,Head of Facilities & Operations,Sandton CBD,92,+27 11 810 2430,South African Property Owners Association (SAPOA)
facilities11@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Financial Towers 11,Rosebank Financial Towers 11,Head of Facilities & Operations,Rosebank Oxford Parks,93,+27 11 811 2473,South African Property Owners Association (SAPOA)
facilities12@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Commercial Office Park 12,Waterfall Commercial Office Park 12,Head of Facilities & Operations,Waterfall City,94,+27 11 812 2516,South African Property Owners Association (SAPOA)
facilities13@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Corporate Campus 13,Bryanston Corporate Campus 13,Head of Facilities & Operations,Bryanston Main Rd,95,+27 11 813 2559,South African Property Owners Association (SAPOA)
facilities14@menlyncommercialproperties.co.za,Facilities Director - Menlyn Medical Centre Suites 14,Menlyn Medical Centre Suites 14,Head of Facilities & Operations,Menlyn Maine Pretoria,96,+27 11 814 2602,South African Property Owners Association (SAPOA)
facilities15@centurioncommercialproperties.co.za,Facilities Director - Centurion Law Chambers 15,Centurion Law Chambers 15,Head of Facilities & Operations,Centurion Commercial,82,+27 11 815 2645,South African Property Owners Association (SAPOA)
facilities16@fourwayscommercialproperties.co.za,Facilities Director - Fourways Executive Business Centre 16,Fourways Executive Business Centre 16,Head of Facilities & Operations,Fourways Office Node,83,+27 11 816 2688,South African Property Owners Association (SAPOA)
facilities17@randburgcommercialproperties.co.za,Facilities Director - Randburg A-Grade Business Park 17,Randburg A-Grade Business Park 17,Head of Facilities & Operations,Randburg Commercial,84,+27 11 817 2731,South African Property Owners Association (SAPOA)
facilities18@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Technology Hub 18,Woodmead Technology Hub 18,Head of Facilities & Operations,Woodmead Business Park,85,+27 11 818 2774,South African Property Owners Association (SAPOA)
facilities19@illovocommercialproperties.co.za,Facilities Director - Illovo Commercial Asset Management 19,Illovo Commercial Asset Management 19,Head of Facilities & Operations,Illovo Boulevard,86,+27 11 819 2817,South African Property Owners Association (SAPOA)
facilities20@sandtoncommercialproperties.co.za,Facilities Director - Sandton Corporate Innovation Center 20,Sandton Corporate Innovation Center 20,Head of Facilities & Operations,Sandton CBD,87,+27 11 820 2860,South African Property Owners Association (SAPOA)
facilities21@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Property Portfolio Group 21,Rosebank Property Portfolio Group 21,Head of Facilities & Operations,Rosebank Oxford Parks,88,+27 11 821 2903,South African Property Owners Association (SAPOA)
facilities22@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Financial Towers 22,Waterfall Financial Towers 22,Head of Facilities & Operations,Waterfall City,89,+27 11 822 2946,South African Property Owners Association (SAPOA)
facilities23@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Commercial Office Park 23,Bryanston Commercial Office Park 23,Head of Facilities & Operations,Bryanston Main Rd,90,+27 11 823 2989,South African Property Owners Association (SAPOA)
facilities24@menlyncommercialproperties.co.za,Facilities Director - Menlyn Corporate Campus 24,Menlyn Corporate Campus 24,Head of Facilities & Operations,Menlyn Maine Pretoria,91,+27 11 824 3032,South African Property Owners Association (SAPOA)
facilities25@centurioncommercialproperties.co.za,Facilities Director - Centurion Medical Centre Suites 25,Centurion Medical Centre Suites 25,Head of Facilities & Operations,Centurion Commercial,92,+27 11 825 3075,South African Property Owners Association (SAPOA)
facilities26@fourwayscommercialproperties.co.za,Facilities Director - Fourways Law Chambers 26,Fourways Law Chambers 26,Head of Facilities & Operations,Fourways Office Node,93,+27 11 826 3118,South African Property Owners Association (SAPOA)
facilities27@randburgcommercialproperties.co.za,Facilities Director - Randburg Executive Business Centre 27,Randburg Executive Business Centre 27,Head of Facilities & Operations,Randburg Commercial,94,+27 11 827 3161,South African Property Owners Association (SAPOA)
facilities28@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead A-Grade Business Park 28,Woodmead A-Grade Business Park 28,Head of Facilities & Operations,Woodmead Business Park,95,+27 11 828 3204,South African Property Owners Association (SAPOA)
facilities29@illovocommercialproperties.co.za,Facilities Director - Illovo Technology Hub 29,Illovo Technology Hub 29,Head of Facilities & Operations,Illovo Boulevard,96,+27 11 829 3247,South African Property Owners Association (SAPOA)
facilities30@sandtoncommercialproperties.co.za,Facilities Director - Sandton Commercial Asset Management 30,Sandton Commercial Asset Management 30,Head of Facilities & Operations,Sandton CBD,82,+27 11 830 3290,South African Property Owners Association (SAPOA)
facilities31@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Corporate Innovation Center 31,Rosebank Corporate Innovation Center 31,Head of Facilities & Operations,Rosebank Oxford Parks,83,+27 11 831 3333,South African Property Owners Association (SAPOA)
facilities32@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Property Portfolio Group 32,Waterfall Property Portfolio Group 32,Head of Facilities & Operations,Waterfall City,84,+27 11 832 3376,South African Property Owners Association (SAPOA)
facilities33@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Financial Towers 33,Bryanston Financial Towers 33,Head of Facilities & Operations,Bryanston Main Rd,85,+27 11 833 3419,South African Property Owners Association (SAPOA)
facilities34@menlyncommercialproperties.co.za,Facilities Director - Menlyn Commercial Office Park 34,Menlyn Commercial Office Park 34,Head of Facilities & Operations,Menlyn Maine Pretoria,86,+27 11 834 3462,South African Property Owners Association (SAPOA)
facilities35@centurioncommercialproperties.co.za,Facilities Director - Centurion Corporate Campus 35,Centurion Corporate Campus 35,Head of Facilities & Operations,Centurion Commercial,87,+27 11 835 3505,South African Property Owners Association (SAPOA)
facilities36@fourwayscommercialproperties.co.za,Facilities Director - Fourways Medical Centre Suites 36,Fourways Medical Centre Suites 36,Head of Facilities & Operations,Fourways Office Node,88,+27 11 836 3548,South African Property Owners Association (SAPOA)
facilities37@randburgcommercialproperties.co.za,Facilities Director - Randburg Law Chambers 37,Randburg Law Chambers 37,Head of Facilities & Operations,Randburg Commercial,89,+27 11 837 3591,South African Property Owners Association (SAPOA)
facilities38@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Executive Business Centre 38,Woodmead Executive Business Centre 38,Head of Facilities & Operations,Woodmead Business Park,90,+27 11 838 3634,South African Property Owners Association (SAPOA)
facilities39@illovocommercialproperties.co.za,Facilities Director - Illovo A-Grade Business Park 39,Illovo A-Grade Business Park 39,Head of Facilities & Operations,Illovo Boulevard,91,+27 11 839 3677,South African Property Owners Association (SAPOA)
facilities40@sandtoncommercialproperties.co.za,Facilities Director - Sandton Technology Hub 40,Sandton Technology Hub 40,Head of Facilities & Operations,Sandton CBD,92,+27 11 840 3720,South African Property Owners Association (SAPOA)
facilities41@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Commercial Asset Management 41,Rosebank Commercial Asset Management 41,Head of Facilities & Operations,Rosebank Oxford Parks,93,+27 11 841 3763,South African Property Owners Association (SAPOA)
facilities42@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Corporate Innovation Center 42,Waterfall Corporate Innovation Center 42,Head of Facilities & Operations,Waterfall City,94,+27 11 842 3806,South African Property Owners Association (SAPOA)
facilities43@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Property Portfolio Group 43,Bryanston Property Portfolio Group 43,Head of Facilities & Operations,Bryanston Main Rd,95,+27 11 843 3849,South African Property Owners Association (SAPOA)
facilities44@menlyncommercialproperties.co.za,Facilities Director - Menlyn Financial Towers 44,Menlyn Financial Towers 44,Head of Facilities & Operations,Menlyn Maine Pretoria,96,+27 11 844 3892,South African Property Owners Association (SAPOA)
facilities45@centurioncommercialproperties.co.za,Facilities Director - Centurion Commercial Office Park 45,Centurion Commercial Office Park 45,Head of Facilities & Operations,Centurion Commercial,82,+27 11 845 3935,South African Property Owners Association (SAPOA)
facilities46@fourwayscommercialproperties.co.za,Facilities Director - Fourways Corporate Campus 46,Fourways Corporate Campus 46,Head of Facilities & Operations,Fourways Office Node,83,+27 11 846 3978,South African Property Owners Association (SAPOA)
facilities47@randburgcommercialproperties.co.za,Facilities Director - Randburg Medical Centre Suites 47,Randburg Medical Centre Suites 47,Head of Facilities & Operations,Randburg Commercial,84,+27 11 847 4021,South African Property Owners Association (SAPOA)
facilities48@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Law Chambers 48,Woodmead Law Chambers 48,Head of Facilities & Operations,Woodmead Business Park,85,+27 11 848 4064,South African Property Owners Association (SAPOA)
facilities49@illovocommercialproperties.co.za,Facilities Director - Illovo Executive Business Centre 49,Illovo Executive Business Centre 49,Head of Facilities & Operations,Illovo Boulevard,86,+27 11 849 4107,South African Property Owners Association (SAPOA)
facilities50@sandtoncommercialproperties.co.za,Facilities Director - Sandton A-Grade Business Park 50,Sandton A-Grade Business Park 50,Head of Facilities & Operations,Sandton CBD,87,+27 11 850 4150,South African Property Owners Association (SAPOA)
facilities51@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Technology Hub 51,Rosebank Technology Hub 51,Head of Facilities & Operations,Rosebank Oxford Parks,88,+27 11 851 4193,South African Property Owners Association (SAPOA)
facilities52@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Commercial Asset Management 52,Waterfall Commercial Asset Management 52,Head of Facilities & Operations,Waterfall City,89,+27 11 852 4236,South African Property Owners Association (SAPOA)
facilities53@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Corporate Innovation Center 53,Bryanston Corporate Innovation Center 53,Head of Facilities & Operations,Bryanston Main Rd,90,+27 11 853 4279,South African Property Owners Association (SAPOA)
facilities54@menlyncommercialproperties.co.za,Facilities Director - Menlyn Property Portfolio Group 54,Menlyn Property Portfolio Group 54,Head of Facilities & Operations,Menlyn Maine Pretoria,91,+27 11 854 4322,South African Property Owners Association (SAPOA)
facilities55@centurioncommercialproperties.co.za,Facilities Director - Centurion Financial Towers 55,Centurion Financial Towers 55,Head of Facilities & Operations,Centurion Commercial,92,+27 11 855 4365,South African Property Owners Association (SAPOA)
facilities56@fourwayscommercialproperties.co.za,Facilities Director - Fourways Commercial Office Park 56,Fourways Commercial Office Park 56,Head of Facilities & Operations,Fourways Office Node,93,+27 11 856 4408,South African Property Owners Association (SAPOA)
facilities57@randburgcommercialproperties.co.za,Facilities Director - Randburg Corporate Campus 57,Randburg Corporate Campus 57,Head of Facilities & Operations,Randburg Commercial,94,+27 11 857 4451,South African Property Owners Association (SAPOA)
facilities58@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Medical Centre Suites 58,Woodmead Medical Centre Suites 58,Head of Facilities & Operations,Woodmead Business Park,95,+27 11 858 4494,South African Property Owners Association (SAPOA)
facilities59@illovocommercialproperties.co.za,Facilities Director - Illovo Law Chambers 59,Illovo Law Chambers 59,Head of Facilities & Operations,Illovo Boulevard,96,+27 11 859 4537,South African Property Owners Association (SAPOA)
facilities60@sandtoncommercialproperties.co.za,Facilities Director - Sandton Executive Business Centre 60,Sandton Executive Business Centre 60,Head of Facilities & Operations,Sandton CBD,82,+27 11 860 4580,South African Property Owners Association (SAPOA)
facilities61@rosebankcommercialproperties.co.za,Facilities Director - Rosebank A-Grade Business Park 61,Rosebank A-Grade Business Park 61,Head of Facilities & Operations,Rosebank Oxford Parks,83,+27 11 861 4623,South African Property Owners Association (SAPOA)
facilities62@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Technology Hub 62,Waterfall Technology Hub 62,Head of Facilities & Operations,Waterfall City,84,+27 11 862 4666,South African Property Owners Association (SAPOA)
facilities63@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Commercial Asset Management 63,Bryanston Commercial Asset Management 63,Head of Facilities & Operations,Bryanston Main Rd,85,+27 11 863 4709,South African Property Owners Association (SAPOA)
facilities64@menlyncommercialproperties.co.za,Facilities Director - Menlyn Corporate Innovation Center 64,Menlyn Corporate Innovation Center 64,Head of Facilities & Operations,Menlyn Maine Pretoria,86,+27 11 864 4752,South African Property Owners Association (SAPOA)
facilities65@centurioncommercialproperties.co.za,Facilities Director - Centurion Property Portfolio Group 65,Centurion Property Portfolio Group 65,Head of Facilities & Operations,Centurion Commercial,87,+27 11 865 4795,South African Property Owners Association (SAPOA)
facilities66@fourwayscommercialproperties.co.za,Facilities Director - Fourways Financial Towers 66,Fourways Financial Towers 66,Head of Facilities & Operations,Fourways Office Node,88,+27 11 866 4838,South African Property Owners Association (SAPOA)
facilities67@randburgcommercialproperties.co.za,Facilities Director - Randburg Commercial Office Park 67,Randburg Commercial Office Park 67,Head of Facilities & Operations,Randburg Commercial,89,+27 11 867 4881,South African Property Owners Association (SAPOA)
facilities68@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Corporate Campus 68,Woodmead Corporate Campus 68,Head of Facilities & Operations,Woodmead Business Park,90,+27 11 868 4924,South African Property Owners Association (SAPOA)
facilities69@illovocommercialproperties.co.za,Facilities Director - Illovo Medical Centre Suites 69,Illovo Medical Centre Suites 69,Head of Facilities & Operations,Illovo Boulevard,91,+27 11 869 4967,South African Property Owners Association (SAPOA)
facilities70@sandtoncommercialproperties.co.za,Facilities Director - Sandton Law Chambers 70,Sandton Law Chambers 70,Head of Facilities & Operations,Sandton CBD,92,+27 11 870 5010,South African Property Owners Association (SAPOA)
facilities71@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Executive Business Centre 71,Rosebank Executive Business Centre 71,Head of Facilities & Operations,Rosebank Oxford Parks,93,+27 11 871 5053,South African Property Owners Association (SAPOA)
facilities72@waterfallcommercialproperties.co.za,Facilities Director - Waterfall A-Grade Business Park 72,Waterfall A-Grade Business Park 72,Head of Facilities & Operations,Waterfall City,94,+27 11 872 5096,South African Property Owners Association (SAPOA)
facilities73@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Technology Hub 73,Bryanston Technology Hub 73,Head of Facilities & Operations,Bryanston Main Rd,95,+27 11 873 5139,South African Property Owners Association (SAPOA)
facilities74@menlyncommercialproperties.co.za,Facilities Director - Menlyn Commercial Asset Management 74,Menlyn Commercial Asset Management 74,Head of Facilities & Operations,Menlyn Maine Pretoria,96,+27 11 874 5182,South African Property Owners Association (SAPOA)
facilities75@centurioncommercialproperties.co.za,Facilities Director - Centurion Corporate Innovation Center 75,Centurion Corporate Innovation Center 75,Head of Facilities & Operations,Centurion Commercial,82,+27 11 875 5225,South African Property Owners Association (SAPOA)
facilities76@fourwayscommercialproperties.co.za,Facilities Director - Fourways Property Portfolio Group 76,Fourways Property Portfolio Group 76,Head of Facilities & Operations,Fourways Office Node,83,+27 11 876 5268,South African Property Owners Association (SAPOA)
facilities77@randburgcommercialproperties.co.za,Facilities Director - Randburg Financial Towers 77,Randburg Financial Towers 77,Head of Facilities & Operations,Randburg Commercial,84,+27 11 877 5311,South African Property Owners Association (SAPOA)
facilities78@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Commercial Office Park 78,Woodmead Commercial Office Park 78,Head of Facilities & Operations,Woodmead Business Park,85,+27 11 878 5354,South African Property Owners Association (SAPOA)
facilities79@illovocommercialproperties.co.za,Facilities Director - Illovo Corporate Campus 79,Illovo Corporate Campus 79,Head of Facilities & Operations,Illovo Boulevard,86,+27 11 879 5397,South African Property Owners Association (SAPOA)
facilities80@sandtoncommercialproperties.co.za,Facilities Director - Sandton Medical Centre Suites 80,Sandton Medical Centre Suites 80,Head of Facilities & Operations,Sandton CBD,87,+27 11 880 5440,South African Property Owners Association (SAPOA)
facilities81@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Law Chambers 81,Rosebank Law Chambers 81,Head of Facilities & Operations,Rosebank Oxford Parks,88,+27 11 881 5483,South African Property Owners Association (SAPOA)
facilities82@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Executive Business Centre 82,Waterfall Executive Business Centre 82,Head of Facilities & Operations,Waterfall City,89,+27 11 882 5526,South African Property Owners Association (SAPOA)
facilities83@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston A-Grade Business Park 83,Bryanston A-Grade Business Park 83,Head of Facilities & Operations,Bryanston Main Rd,90,+27 11 883 5569,South African Property Owners Association (SAPOA)
facilities84@menlyncommercialproperties.co.za,Facilities Director - Menlyn Technology Hub 84,Menlyn Technology Hub 84,Head of Facilities & Operations,Menlyn Maine Pretoria,91,+27 11 884 5612,South African Property Owners Association (SAPOA)
facilities85@centurioncommercialproperties.co.za,Facilities Director - Centurion Commercial Asset Management 85,Centurion Commercial Asset Management 85,Head of Facilities & Operations,Centurion Commercial,92,+27 11 885 5655,South African Property Owners Association (SAPOA)
facilities86@fourwayscommercialproperties.co.za,Facilities Director - Fourways Corporate Innovation Center 86,Fourways Corporate Innovation Center 86,Head of Facilities & Operations,Fourways Office Node,93,+27 11 886 5698,South African Property Owners Association (SAPOA)
facilities87@randburgcommercialproperties.co.za,Facilities Director - Randburg Property Portfolio Group 87,Randburg Property Portfolio Group 87,Head of Facilities & Operations,Randburg Commercial,94,+27 11 887 5741,South African Property Owners Association (SAPOA)
facilities88@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Financial Towers 88,Woodmead Financial Towers 88,Head of Facilities & Operations,Woodmead Business Park,95,+27 11 888 5784,South African Property Owners Association (SAPOA)
facilities89@illovocommercialproperties.co.za,Facilities Director - Illovo Commercial Office Park 89,Illovo Commercial Office Park 89,Head of Facilities & Operations,Illovo Boulevard,96,+27 11 889 5827,South African Property Owners Association (SAPOA)
facilities90@sandtoncommercialproperties.co.za,Facilities Director - Sandton Corporate Campus 90,Sandton Corporate Campus 90,Head of Facilities & Operations,Sandton CBD,82,+27 11 890 5870,South African Property Owners Association (SAPOA)
facilities91@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Medical Centre Suites 91,Rosebank Medical Centre Suites 91,Head of Facilities & Operations,Rosebank Oxford Parks,83,+27 11 891 5913,South African Property Owners Association (SAPOA)
facilities92@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Law Chambers 92,Waterfall Law Chambers 92,Head of Facilities & Operations,Waterfall City,84,+27 11 892 5956,South African Property Owners Association (SAPOA)
facilities93@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Executive Business Centre 93,Bryanston Executive Business Centre 93,Head of Facilities & Operations,Bryanston Main Rd,85,+27 11 893 5999,South African Property Owners Association (SAPOA)
facilities94@menlyncommercialproperties.co.za,Facilities Director - Menlyn A-Grade Business Park 94,Menlyn A-Grade Business Park 94,Head of Facilities & Operations,Menlyn Maine Pretoria,86,+27 11 894 6042,South African Property Owners Association (SAPOA)
facilities95@centurioncommercialproperties.co.za,Facilities Director - Centurion Technology Hub 95,Centurion Technology Hub 95,Head of Facilities & Operations,Centurion Commercial,87,+27 11 895 6085,South African Property Owners Association (SAPOA)
facilities96@fourwayscommercialproperties.co.za,Facilities Director - Fourways Commercial Asset Management 96,Fourways Commercial Asset Management 96,Head of Facilities & Operations,Fourways Office Node,88,+27 11 896 6128,South African Property Owners Association (SAPOA)
facilities97@randburgcommercialproperties.co.za,Facilities Director - Randburg Corporate Innovation Center 97,Randburg Corporate Innovation Center 97,Head of Facilities & Operations,Randburg Commercial,89,+27 11 897 6171,South African Property Owners Association (SAPOA)
facilities98@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Property Portfolio Group 98,Woodmead Property Portfolio Group 98,Head of Facilities & Operations,Woodmead Business Park,90,+27 11 898 6214,South African Property Owners Association (SAPOA)
facilities99@illovocommercialproperties.co.za,Facilities Director - Illovo Financial Towers 99,Illovo Financial Towers 99,Head of Facilities & Operations,Illovo Boulevard,91,+27 11 899 6257,South African Property Owners Association (SAPOA)
facilities100@sandtoncommercialproperties.co.za,Facilities Director - Sandton Commercial Office Park 100,Sandton Commercial Office Park 100,Head of Facilities & Operations,Sandton CBD,92,+27 11 900 6300,South African Property Owners Association (SAPOA)
facilities101@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Corporate Campus 101,Rosebank Corporate Campus 101,Head of Facilities & Operations,Rosebank Oxford Parks,93,+27 11 901 6343,South African Property Owners Association (SAPOA)
facilities102@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Medical Centre Suites 102,Waterfall Medical Centre Suites 102,Head of Facilities & Operations,Waterfall City,94,+27 11 902 6386,South African Property Owners Association (SAPOA)
facilities103@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Law Chambers 103,Bryanston Law Chambers 103,Head of Facilities & Operations,Bryanston Main Rd,95,+27 11 903 6429,South African Property Owners Association (SAPOA)
facilities104@menlyncommercialproperties.co.za,Facilities Director - Menlyn Executive Business Centre 104,Menlyn Executive Business Centre 104,Head of Facilities & Operations,Menlyn Maine Pretoria,96,+27 11 904 6472,South African Property Owners Association (SAPOA)
facilities105@centurioncommercialproperties.co.za,Facilities Director - Centurion A-Grade Business Park 105,Centurion A-Grade Business Park 105,Head of Facilities & Operations,Centurion Commercial,82,+27 11 905 6515,South African Property Owners Association (SAPOA)
facilities106@fourwayscommercialproperties.co.za,Facilities Director - Fourways Technology Hub 106,Fourways Technology Hub 106,Head of Facilities & Operations,Fourways Office Node,83,+27 11 906 6558,South African Property Owners Association (SAPOA)
facilities107@randburgcommercialproperties.co.za,Facilities Director - Randburg Commercial Asset Management 107,Randburg Commercial Asset Management 107,Head of Facilities & Operations,Randburg Commercial,84,+27 11 907 6601,South African Property Owners Association (SAPOA)
facilities108@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Corporate Innovation Center 108,Woodmead Corporate Innovation Center 108,Head of Facilities & Operations,Woodmead Business Park,85,+27 11 908 6644,South African Property Owners Association (SAPOA)
facilities109@illovocommercialproperties.co.za,Facilities Director - Illovo Property Portfolio Group 109,Illovo Property Portfolio Group 109,Head of Facilities & Operations,Illovo Boulevard,86,+27 11 909 6687,South African Property Owners Association (SAPOA)
